eps,min_samples,n_clusters,noise_ratio,silhouette
0.3,30,16,0.0359,0.4996824152887982
0.5,30,15,0.0143,0.4963137907981537
0.5,20,16,0.0098,0.4958669394274117
0.7,30,15,0.0116,0.4945012542035737
0.3,10,19,0.0067,0.4944089349921856
0.7,20,16,0.0064,0.4938702425952474
0.9,30,16,0.0052,0.4931312199624116
0.9,20,16,0.005,0.4930647095884626
1.1,30,16,0.005,0.4930647095884626
0.5,10,18,0.0029,0.49301088284208916
1.3,30,16,0.0048,0.49283463986691867
1.1,10,18,0.0004,0.4926876436946264
0.7,5,18,0.0003,0.4926740506242191
0.9,5,18,0.0003,0.4926740506242191
1.1,5,18,0.0003,0.4926740506242191
0.9,10,18,0.0009,0.49258275752439423
0.7,10,18,0.0013,0.4925437039775994
1.3,20,18,0.0002,0.492456994064064
1.1,20,17,0.003,0.49245272109869853
1.3,5,18,0.0001,0.49244353374591954
1.3,10,18,0.0001,0.49244353374591954
0.3,20,16,0.0183,0.4921997461339574
0.5,5,20,0.0011,0.491494879002016
0.3,5,20,0.0031,0.48563266983852577
