DBSCAN_Cluster,GENERO,EDAD,ESTAFINAL,TIPO_AFILIACION
-1,0.628,35.545,1.909,1.504
0,0.0,36.207,3.0,3.0
1,0.0,42.68,2.0,2.0
2,0.0,38.447,2.0,3.0
3,0.0,38.124,1.0,3.0
4,1.0,39.224,2.0,2.0
5,1.0,35.579,3.0,3.0
6,1.0,32.114,2.0,1.0
7,0.0,34.375,2.0,1.0
8,1.0,37.783,2.0,3.0
9,1.0,36.023,3.0,2.0
10,1.0,37.645,1.0,2.0
11,0.0,40.495,3.0,2.0
12,1.0,33.887,1.0,3.0
13,0.0,41.632,1.0,2.0
14,0.0,35.449,1.0,1.0
15,0.0,33.742,3.0,1.0
16,1.0,30.714,3.0,1.0
17,1.0,82.516,1.0,3.0
18,1.0,28.646,1.0,1.0
19,0.0,1.0,2.0,2.0
